;angle;;;;;;;;;;;;;;;;;
;0;;;;20;;;;40;;;;60;;;;;
Data;NB visages;NB visage détecté;NB faux négatif;NB faux positif;NB visages;NB visage détecté;NB faux négatif;NB faux positif;NB visages;NB visage détecté;NB faux négatif;NB faux positif;NB visages;NB visage détecté;NB faux négatif;NB faux positif;;
1;7;5;2;0;7;5;2;0;7;5;2;0;7;5;2;0;;
2;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;;
3;4;3;1;0;4;4;0;0;4;4;0;0;4;4;0;0;;
4;5;3;2;0;5;5;0;0;5;5;0;1;5;5;0;1;;
5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;;
6;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;;
7;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;;
8;10;6;4;0;10;8;2;0;10;10;0;1;10;10;0;1;;
9;3;1;2;0;3;3;0;0;3;3;0;0;3;3;0;0;;
10;3;3;0;0;3;3;0;0;3;3;0;0;3;3;0;0;;
11;5;2;3;0;5;3;2;1;5;3;2;1;5;3;2;1;;
12;3;3;0;0;3;3;0;0;3;3;0;0;3;3;0;0;;
13;3;1;2;1;3;1;2;2;3;1;2;2;3;1;2;2;;
14;13;7;6;0;13;8;5;0;13;10;3;0;13;13;0;0;;
15;6;3;3;0;6;5;1;0;6;5;1;0;6;5;1;0;;
16;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;;
17;6;5;1;0;6;6;0;0;6;6;0;0;6;6;0;0;;
18;5;3;2;0;5;4;1;0;5;4;1;0;5;4;1;0;;
19;4;2;2;0;4;4;0;0;4;4;0;0;4;4;0;0;;
